[15-Nov-2017 06:39:59 Europe/Berlin] PHP Notice:  Undefined variable: userName in C:\xampp\htdocs\giannerWeb\model\UsuarioModel.php on line 15
[15-Nov-2017 06:43:23 Europe/Berlin] PHP Notice:  Undefined variable: userName in C:\xampp\htdocs\giannerWeb\model\UsuarioModel.php on line 15
[15-Nov-2017 06:59:17 Europe/Berlin] PHP Fatal error:  Call to undefined method AdminController::isAdmin() in C:\xampp\htdocs\giannerWeb\controller\AdminController.php on line 17
[15-Nov-2017 07:00:43 Europe/Berlin] PHP Warning:  session_start(): open(C:\xampp\tmp\sess_kbu86i2j1gedmi08hfo1dcuqm5, O_RDWR) failed: Permission denied (13) in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 70
[15-Nov-2017 07:00:43 Europe/Berlin] PHP Warning:  session_start(): open(C:\xampp\tmp\sess_kbu86i2j1gedmi08hfo1dcuqm5, O_RDWR) failed: Permission denied (13) in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 70
[15-Nov-2017 07:00:43 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 71
[15-Nov-2017 07:00:43 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 71
[15-Nov-2017 13:42:33 Europe/Berlin] PHP Warning:  session_start(): open(C:\xampp\tmp\sess_eim0vap764eh86eqdhikr4s4r2, O_RDWR) failed: Permission denied (13) in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 70
[15-Nov-2017 17:54:42 Europe/Berlin] PHP Warning:  session_start(): open(C:\xampp\tmp\sess_j1judmu9s0h9308h6bs7p1omg5, O_RDWR) failed: Permission denied (13) in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 70
[15-Nov-2017 17:54:42 Europe/Berlin] PHP Warning:  session_start(): open(C:\xampp\tmp\sess_j1judmu9s0h9308h6bs7p1omg5, O_RDWR) failed: Permission denied (13) in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 70
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:08:26 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
